codigo_produto,codigo_barras,descricao,quantidade_estoque,ncm,categoria_codigo
510247,7898511031964,MOTO-V LAVA MOTOS 500ML,39,34023100,A
510263,7898511031179,REMOVEDOR CHUVA ACIDA DOS VIDROS PRIZM VONIXX 500ML,47,34023100,A
510248,7898511030578,MULTILIMPADOR SINTRA FAST 500ML,40,34023990,A
510220,7898511032596,"DESINCRUSTANTE ALUMAX VONIXX 1,5L",39,34029090,A
510232,7898511032602,"LAVA AUTOS VONIXX 1,5L",28,34029090,A
510268,7898511028087,REVITALIZADOR DE PLASTICOS PRETO REJUVEX BLACK 400G,44,34029090,A
510245,7898511032909,MAKKER 500ML VONIXX,66,34053000,A
510266,7898511020265,RESTAURADOR DE PLASTICOS VONIXX RESTAURAX 500ML,82,34059000,A
137040,7909236018465,ADESIVO MILLE FIRE FIAT RESINADO,15,39199090,A
133196,7899795019310,EMBLEMA FIAT AZUL RESINADO,16,39199090,A
230396,7909236011114,KIT TAMPA FURO MACANETA UNIVERSAL - PRETA,4,39269090,A
467089,7898559043561,RET. AUX OLHO DE BOI PEQ C/MOV LD/LE,26,70091000,A
467088,7898559043554,RET. AUX OLHO DE BOI PEQ FIXO LD/LE,21,70091000,A
461801,7899712160439,RET. EXT. ESCORT 87/92 HOBBY/VERONA 89/93 C/CONTR. LE,87,70091000,A
462090,7899712161245,RET. EXT. KADETT  E IPANEMA  C/CONT. LD (TODOS),96,70091000,A
462085,7899712161191,RET. EXT. KADETT E IPANEMA C/CONT. LE (TODOS),96,70091000,A
461058,7898559040065,RET. EXT. PE FERRO KOMBI CLIPPER 76/96 LD/LE (BRACO ZAMAK),48,70091000,A
461716,7899712160149,RET. EXT. UNO EP/MILLE/BRIO/ELX/SMART/SX/YOUNG C/CONTR. LD,88,70091000,A
461717,7899712160156,RET. EXT. UNO EP/MILLE/BRIO/ELX/SMART/SX/YOUNG C/CONTR. LE,88,70091000,A
469904,7908185209832,RET. INT. ESCORT/TODOS FORD - VIDRO PLANO (COLANTE),53,70091000,A
467054,7898559040430,RET. PASS 83/89 S/CONTR LD,56,70091000,A
467055,7898559040447,RET. PASS 83/89 S/CONTR LE,56,70091000,A
303321,7908646609942,PORCA CROM ONIX/SPIN/COBALT/SONIC/NEW PRISMA CH19 (16 PCS),144,73181600,A
611274,7909236299109,FILTRO DE AR ESPORT. CROM. P/ CARBURADOR VW MOTOR,239,84213100,A
611254,7890000101998,FILTRO DUPLO FLUXO BLACK RACE 15X15 PRETO,157,84213100,A
520064,7909236140159,CARREGADOR BATERIA (BIVOLT),40,85044010,A
446100,7909236107459,KIT C/5 PC BATERIA ALCALINA 12V  - BLISTER,20,85061032,A
600860,7898240270221,FAROL AUXILIAR GOL/PAR/SAV 87/94 LENTE VIDRO RAIADO LD,124,85122011,A
600861,7898240270214,FAROL AUXILIAR GOL/PAR/SAV 87/94 LENTE VIDRO RAIADO LE,124,85122011,A
600854,7898240264039,FAROL AUXILIAR GOL/PAR/SAV. G2 BOLA 96/99  LENTE VIDRO LD,127,85122011,A
600855,7898240264022,FAROL AUXILIAR GOL/PAR/SAV. G2 BOLA 96/99  LENTE VIDRO LE,127,85122011,A
FW41LE,7897652202851,FAROL ESCORT 87/94 APOLO VERONA 87/92 LENTE DE VIDRO LE,221,85122011,A
600710,7898240260765,FAROL FUSCA 74/12 KOMBI 76/12 CARCACA FERRO LENTE VIDRO,132,85122011,A
600638,7899712184367,FAROL PALIO SIENA STRADA 96/00 SIMPLES LENTE VIDRO LD,162,85122011,A
609020,7909236263612,FAROL UNO FIORINO 91/03 LENTE DE VIDRO LD,80,85122011,A
609021,7909236263629,FAROL UNO FIORINO 91/03 LENTE DE VIDRO LE,74,85122011,A
410806,7899712145658,LENTE LANTERNA TRASEIRA FIAT 147 79/82 LUZ DA RE LD,10,85122019,A
410803,7899712145627,LENTE LANTERNA TRASEIRA FIAT 147 79/82 LUZ DA RE LE,10,85122019,A
600544,7899712183599,FAROL  PALIO SIENA STRADA 96/00 LE SIMPLES LENTE POLICARB.,152,85122021,A
550156,7898610551998,LANT. LATERAL FORD KA/FIESTA AMBAR S/SOQ,20,85122021,A
411126,7894915000513,LANTERNA TRASEIRA GOL 80/86 FRISO CROMADO TRICOLOR LD,82,85122021,A
553032,7908185210142,SOQ. LANT. LATERAL VW,39,85122021,A
411125,7894915000544,LANTERNA TRASEIRA GOL 80/86 FRISO CROMADO TRICOLOR LE,82,85122022,A
412033,7899712147836,LENTE LANTERNA TRASEIRA CHEVY 83/94 TRICOLOR LE,66,85122022,A
410111,7899712141124,LENTE PISCA BRAS/GOL/PASSAT 77/80 AMBAR KIT C/2 PC,7,85122022,A
415527,7898415281427,PISCA DEL REY/CORCEL/BELINA 85/91 MOD ARTEB CRISTAL LD,28,85122022,A
4192110,7898235751445,PISCA DEL REY/CORCEL/BELINA 85/91 MOD ARTEB CRISTAL LD,44,85122022,A
412936,7898415281588,PISCA DIANTEIRO ESCORT/VERONA 93/96 CRISTAL PLASTICO LD,48,85122022,A
412935,7898415281595,PISCA DIANTEIRO ESCORT/VERONA 93/96 CRISTAL PLASTICO LE,48,85122022,A
410278,7899712142329,PISCA ESCORT 84/86 CRISTAL PLASTICO LD,31,85122022,A
410277,7899712142312,PISCA ESCORT 84/86 CRISTAL PLASTICO LE,31,85122022,A
410244,7899712142121,PISCA OPALA/CARAVAN 88/92 AMBAR PLASTICO LD,66,85122022,A
